Month,Year,Start Date,End Date
1,2015,2-Jan-15,26-Jan-15
2,2015,29-Jan-15,23-Feb-15
3,2015,26-Feb-15,23-Mar-15
4,2015,26-Mar-15,25-Apr-15
5,2015,29-Apr-15,23-May-15
6,2015,28-May-15,22-Jun-15
7,2015,25-Jun-15,27-Jul-15
8,2015,29-Jul-15,26-Aug-15
9,2015,27-Aug-15,21-Sep-15
10,2015,24-Sep-15,26-Oct-15
11,2015,29-Oct-15,22-Nov-15
12,2015,28-Nov-15,19-Dec-15
1,2016,2-Jan-16,25-Jan-16
2,2016,28-Jan-16,21-Feb-16
3,2016,25-Feb-16,28-Mar-16
4,2016,31-Mar-16,26-Apr-16
5,2016,28-Apr-16,24-May-16
6,2016,26-May-16,22-Jun-16
7,2016,23-Jun-16,25-Jul-16
8,2016,27-Jul-16,24-Aug-16
9,2016,25-Aug-16,25-Sep-16
10,2016,29-Sep-16,24-Oct-16
11,2016,27-Oct-16,20-Nov-16
12,2016,26-Nov-16,17-Dec-16
1,2017,27-Dec-16,23-Jan-17
2,2017,26-Jan-17,20-Feb-17
3,2017,23-Feb-17,28-Mar-17
4,2017,29-Mar-17,24-Apr-17
5,2017,26-Apr-17,22-May-17
6,2017,24-May-17,27-Jun-17
7,2017,28-Jun-17,24-Jul-17
8,2017,26-Jul-17,29-Aug-17
9,2017,30-Aug-17,26-Sep-17
10,2017,27-Sep-17,23-Oct-17
11,2017,25-Oct-17,18-Nov-17
12,2017,25-Nov-17,18-Dec-17
1,2018,2-Jan-18,29-Jan-18
2,2018,31-Jan-18,26-Feb-18
3,2018,28-Feb-18,25-Mar-18
4,2018,27-Mar-18,23-Apr-18
5,2018,25-Apr-18,21-May-18
6,2018,23-May-18,25-Jun-18
7,2018,27-Jun-18,23-Jul-18
8,2018,25-Jul-18,27-Aug-18
9,2018,29-Aug-18,24-Sep-18
10,2018,26-Sep-18,22-Oct-18
11,2018,24-Oct-18,18-Nov-18
12,2018,24-Nov-18,17-Dec-18
1,2019,2-Jan-19,28-Jan-19
2,2019,30-Jan-19,25-Feb-19
3,2019,27-Feb-19,25-Mar-19
4,2019,27-Mar-19,22-Apr-19
5,2019,24-Apr-19,28-May-19
6,2019,29-May-19,24-Jun-19
7,2019,25-Jun-19,29-Jul-19
8,2019,31-Jul-19,26-Aug-19
9,2019,27-Aug-19,23-Sep-19
10,2019,25-Sep-19,21-Oct-19
11,2019,22-Oct-19,18-Nov-19
12,2019,20-Nov-19,16-Dec-19
1,2020,2-Jan-20,27-Jan-20
2,2020,29-Jan-20,25-Feb-20
3,2020,26-Feb-20,24-Mar-20
4,2020,25-Mar-20,20-Apr-20
5,2020,22-Apr-20,26-May-20
6,2020,27-May-20,22-Jun-20
7,2020,24-Jun-20,27-Jul-20
8,2020,29-Jul-20,24-Aug-20
9,2020,26-Aug-20,28-Sep-20
10,2020,30-Sep-20,26-Oct-20
11,2020,28-Oct-20,21-Nov-20
12,2020,23-Nov-20,20-Dec-20
1,2021,2-Jan-21,25-Jan-21
2,2021,27-Jan-21,22-Feb-21
3,2021,24-Feb-21,22-Mar-21
4,2021,24-Mar-21,26-Apr-21
5,2021,28-Apr-21,24-May-21
6,2021,26-May-21,21-Jun-21
7,2021,23-Jun-21,26-Jul-21
8,2021,28-Jul-21,23-Aug-21
9,2021,25-Aug-21,27-Sep-21
10,2021,29-Sep-21,25-Oct-21
11,2021,27-Oct-21,20-Nov-21
12,2021,22-Nov-21,20-Dec-21
1,2022,27-Dec-21,24-Jan-22
2,2022,26-Jan-22,21-Feb-22
3,2022,23-Feb-22,21-Mar-22
4,2022,23-Mar-22,25-Apr-22
5,2022,27-Apr-22,23-May-22
6,2022,25-May-22,20-Jun-22
7,2022,22-Jun-22,25-Jul-22
8,2022,27-Jul-22,22-Aug-22
9,2022,24-Aug-22,26-Sep-22
10,2022,28-Sep-22,24-Oct-22
11,2022,26-Oct-22,19-Nov-22
12,2022,21-Nov-22,19-Dec-22
1,2023,27-Dec-22,23-Jan-23
2,2023,25-Jan-23,20-Feb-23
3,2023,22-Feb-23,27-Mar-23
4,2023,29-Mar-23,24-Apr-23
5,2023,26-Apr-23,22-May-23
6,2023,24-May-23,25-Jun-23
7,2023,26-Jun-23,24-Jul-23
8,2023,26-Jul-23,21-Aug-23
9,2023,23-Aug-23,25-Sep-23
10,2023,27-Sep-23,22-Oct-23
11,2023,23-Oct-23,19-Nov-23
12,2023,19-Nov-23,15-Dec-23
1,2024,2-Jan-24,29-Jan-24
2,2024,31-Jan-24,26-Feb-24
3,2024,28-Feb-24,24-Mar-24
4,2024,27-Mar-24,20-Apr-24
5,2024,24-Apr-24,20-May-24
6,2024,22-May-24,24-Jun-24
7,2024,25-Jun-24,22-Jul-24
8,2024,23-Jul-24,26-Aug-24
9,2024,27-Aug-24,23-Sep-24
10,2024,24-Sep-24,21-Oct-24
11,2024,22-Oct-24,18-Nov-24
12,2024,19-Nov-24,16-Dec-24
1,2025,17-Dec-24,20-Jan-25
2,2025,21-Jan-25,17-Feb-25
3,2025,18-Feb-25,24-Mar-25
4,2025,25-Mar-25,21-Apr-25
5,2025,22-Apr-25,26-May-25
6,2025,27-May-25,23-Jun-25
7,2025,24-Jun-25,28-Jul-25
8,2025,29-Jul-25,25-Aug-25
9,2025,26-Aug-25,22-Sep-25
10,2025,22-Sep-25,20-Oct-25
11,2025,21-Oct-25,17-Nov-25
12,2025,18-Nov-25,15-Dec-25
